Attack,Source_Class,Target_Class,Count
PGD,Dandie_Dinmont,otterhound,1
PGD,Arctic_fox,white_wolf,1
FGSM,white_wolf,wire-haired_fox_terrier,1
PGD,Arctic_fox,Scotch_terrier,1
PGD,English_foxhound,sock,1
PGD,Irish_water_spaniel,briard,1
PGD,Irish_water_spaniel,Newfoundland,1
PGD,Staffordshire_bullterrier,bathtub,1
PGD,Staffordshire_bullterrier,groenendael,1
PGD,Staffordshire_bullterrier,refrigerator,1
PGD,Staffordshire_bullterrier,paper_towel,1
PGD,Gordon_setter,Rottweiler,1
PGD,English_foxhound,hog,1
PGD,Tibetan_mastiff,flat-coated_retriever,1
PGD,Tibetan_mastiff,cocker_spaniel,1
PGD,Walker_hound,beagle,1
FGSM,sandbar,red-backed_sandpiper,1
FGSM,vine_snake,spindle,1
FGSM,seashore,fountain,1
FGSM,vine_snake,marmoset,1
FGSM,triceratops,tarantula,1
PGD,Arctic_fox,West_Highland_white_terrier,1
FGSM,robin,brambling,1
FGSM,robin,partridge,1
FGSM,sandbar,dowitcher,1
FGSM,meerkat,hare,1
FGSM,milk_can,Lhasa,1
FGSM,milk_can,skunk,1
FGSM,redbone,bustard,1
PGD,dogsled,dowitcher,1
PGD,dalmatian,beagle,1
PGD,dalmatian,English_setter,1
PGD,curly-coated_retriever,sloth_bear,1
PGD,curly-coated_retriever,affenpinscher,1
PGD,boxer,Saint_Bernard,1
PGD,boxer,Chihuahua,1
PGD,boxer,Brittany_spaniel,1
PGD,Walker_hound,Saint_Bernard,1
PGD,bolo_tie,jellyfish,1
PGD,bolo_tie,brassiere,1
PGD,Walker_hound,dalmatian,1
PGD,Walker_hound,English_springer,1
PGD,golden_retriever,Tibetan_mastiff,1
PGD,goose,Irish_terrier,1
PGD,golden_retriever,miniature_pinscher,1
PGD,green_mamba,knot,1
PGD,green_mamba,head_cabbage,1
PGD,green_mamba,conch,1
PGD,harvestman,cucumber,1
PGD,harvestman,tick,1
PGD,house_finch,barn_spider,1
PGD,isopod,barn_spider,1
PGD,green_mamba,marmoset,1
PGD,isopod,jellyfish,1
PGD,king_crab,barn_spider,1
PGD,king_crab,isopod,1
PGD,goose,hare,1
PGD,goose,llama,1
PGD,dugong,golden_retriever,1
PGD,dogsled,fountain,1
PGD,dugong,Sussex_spaniel,1
PGD,komondor,golden_retriever,1
PGD,komondor,English_setter,1
PGD,komondor,Blenheim_spaniel,1
PGD,komondor,Afghan_hound,1
PGD,king_crab,tick,1
PGD,lion,Chihuahua,1
PGD,malamute,Lhasa,1
PGD,ladybug,titi,1
PGD,malamute,red_wolf,1
PGD,malamute,silky_terrier,1
PGD,meerkat,Madagascar_cat,1
PGD,meerkat,fox_squirrel,1
PGD,milk_can,Lhasa,1
PGD,milk_can,grey_fox,1
PGD,redbone,goose,1
PGD,malamute,grey_fox,1
PGD,redbone,hare,1
PGD,robin,brambling,1
PGD,sandbar,American_coot,1
PGD,robin,coucal,1
PGD,schipperke,Egyptian_cat,1
PGD,schipperke,black-footed_ferret,1
PGD,seashore,coyote,1
PGD,sandbar,dowitcher,1
PGD,seashore,dogsled,1
PGD,toucan,guinea_pig,1
PGD,triceratops,cocker_spaniel,1
PGD,toucan,house_finch,1
PGD,triceratops,tarantula,1
PGD,vine_snake,marmoset,1
PGD,vine_snake,spindle,1
PGD,white_wolf,wire-haired_fox_terrier,1
